207.3035	15	0.00417
329.2889	18	0.00556
395.9134	10	0.00604
445.9446	13	0.00466
454.7514	9	0.00456
511.1044	10	0.00468
514.7760	16	0.0213
534.5151	15	0.00893
539.6130	9	0.00497
542.8980	14	0.0114
564.5367	84	0.0114
569.9446	14	0.00717
573.9243	9	0.00529
573.9640	10	0.00514
575.2513	12	0.0075
577.2165	10	0.00265
578.7132	20	0.015
586.1383	23	0.0099
588.6446	22	0.0182
591.6009	14	0.015
596.4162	11	0.0103
598.8378	18	0.0138
605.4957	18	0.0166
605.7487	12	0.013
606.1304	16	0.017
611.5398	13	0.00966
613.0107	11	0.00759
613.0731	13	0.00759
613.1553	20	0.00949
614.0863	14	0.00722
615.6134	10	0.00772
616.4730	14	0.0182
622.3804	19	0.0121
624.1076	9	0.00534
626.9825	10	0.00795
628.9570	25	0.0133
631.8561	9	0.00277
632.5330	12	0.00763
634.1819	20	0.0108
637.2097	12	0.00529
637.2349	10	0.00557
637.5162	11	0.0077
637.5413	15	0.0157
639.2585	19	0.0145
640.7589	18	0.0127
642.6850	11	0.0107
643.6868	17	0.0148
645.5380	10	0.00806
646.2644	14	0.0119
648.1486	15	0.00728
648.2618	16	0.0202
652.2064	20	0.0121
652.8198	17	0.00757
652.9494	15	0.0153
654.2415	15	0.0152
654.7863	17	0.015
655.7046	9	0.0083
656.8280	14	0.00969
657.4206	14	0.0077
657.6659	9	0.00548
658.5384	16	0.0173
659.6434	18	0.0128
660.0026	11	0.00819
660.2186	12	0.00539
662.7772	34	0.0174
663.1088	12	0.0104
663.3847	11	0.0105
664.8106	20	0.0173
664.8847	16	0.0117
664.9288	9	0.0115
665.5627	12	0.0138
666.2254	17	0.0131
667.1064	13	0.0109
668.4639	19	0.0106
669.1312	10	0.00535
669.9290	20	0.0158
670.6263	15	0.0157
671.0426	10	0.00536
671.9260	14	0.0107
672.0795	13	0.0161
672.2466	10	0.00537
673.1139	11	0.0108
674.3752	15	0.013
675.3305	11	0.00574
675.9345	15	0.00986
676.2277	9	0.00556
678.8790	18	0.012
