95.0850	144	0.00296
97.0748	112	0.00535
97.1009	148	0.003
104.1064	914	0.00473
107.0858	162	0.00479
146.9819	6284	0.00559
147.9864	122	0.00423
164.9917	442	0.00712
206.0552	304	0.00731
264.2700	220	0.00988
265.2534	100	0.0053
308.2930	384	0.0131
346.0100	126	0.0058
385.7869	128	0.00684
530.5298	840	0.0188
531.5342	410	0.0226
548.5385	1440	0.0135
549.5463	732	0.014
551.3282	174	0.0144
552.5038	114	0.0118
570.4250	124	0.00993
570.4680	182	0.00859
570.5215	36622	0.0119
570.6735	122	0.0114
570.7253	114	0.0111
570.7599	146	0.00978
570.8493	164	0.0189
570.9506	96	0.0117
571.0430	98	0.0108
571.5245	9860	0.0157
572.5281	1320	0.0191
573.5226	112	0.00824
650.4893	170	0.0097
693.0155	118	0.00868
693.7604	102	0.0125
694.5141	31274	0.0142
694.7273	150	0.00785
695.0855	124	0.0243
695.4321	96	0.0182
695.5170	9752	0.0169
696.4047	98	0.0086
696.5199	1372	0.0216
711.4762	98	0.0103
721.5442	110	0.0088
722.0423	132	0.0104
722.5514	272	0.00933
751.0743	154	0.0216
753.5206	118	0.00985
753.5861	6550	0.0227
754.5905	2504	0.0186
755.5961	484	0.0175
893.5486	122	0.0197
894.5375	122	0.0341
895.5631	134	0.0102
